Sentence #,Word,POS,Tag
,ServeIT,NN,per
,fsgdsfds,NN,per
,vendor1234,NN,per
,vendoerfdsklj,NN,per
,vendor23das,NN,per
,ServeIT,NN,per
,fsgdsfds,NN,per
,vendoerfdsklj,NN,per
,vendor1234,NN,per
,vendorno123,NN,per
,kdlasjkaksd,NN,per
,VENDOE,NN,per
,vendore789,NN,per
,vendortest1,NN,per
,vendor23das,NN,per
,vendors123,NN,per
,VENDOE,NN,per
,fsgdsfds,NN,per
,vendore789,NN,per
,vendoerfdsklj,NN,per
,vendortest1,NN,per
,ServeIT,NN,per
,vendors123,NN,per
,vendor1234,NN,per
,vendorno123,NN,per
,kdlasjkaksd,NN,per
,vendor23das,NN,per
,ServeIT,NN,per
,fsgdsfds,NN,per
,VENDOE,NN,per
,vendore789,NN,per
,vendor23das,NN,per
,kdlasjkaksd,NN,per
,vendortest1,NN,per
,vendor1234,NN,per
,vendors123,NN,per
,vendoerfdsklj,NN,per
,vendorno123,NN,per
,vendoerfdsklj,NN,per
,kdlasjkaksd,NN,per
,vendor23das,NN,per
,vendors123,NN,per
,VENDOE,NN,per
,vendor1234,NN,per
,vendorno123,NN,per
,vendore789,NN,per
,vendortest1,NN,per
,ServeIT,NN,per
,fsgdsfds,NN,per
,vendore789,NN,per
,vendor1234,NN,per
,ServeIT,NN,per
,vendor23das,NN,per
,vendorno123,NN,per
,vendors123,NN,per
,fsgdsfds,NN,per
,VENDOE,NN,per
,kdlasjkaksd,NN,per
,vendortest1,NN,per
,vendoerfdsklj,NN,per
,vendor23das,NN,per
,VENDOE,NN,per
,vendoerfdsklj,NN,per
,fsgdsfds,NN,per
,vendorno123,NN,per
,vendors123,NN,per
,vendortest1,NN,per
,ServeIT,NN,per
,vendore789,NN,per
,vendor1234,NN,per
,kdlasjkaksd,NN,per
Sentence: 2,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,vendortest1,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,vendortest1,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,vendortest1,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,vendortest1,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,vendortest1,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,vendortest1,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,vendortest1,IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,vendortest1,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,vendortest1,IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,vendortest1,IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,"<p>hyderabad, telangana</p>",IN,geo
,"<p>hydeersafsjh,jhskjdfh</p>",IN,geo
,"<p>hyderaabad, telanagamn</p>",IN,geo
,<p>hyderabad dsjklsajkj</p>,IN,geo
,<p>hyderabad.tealnagana</p>,IN,geo
,<p>hyderabad.telangana</p>,IN,geo
,vendortest1,IN,geo
,"<p>1 State route 27 Taylor, Wayne</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,"<p>hyderabad,telangana</p>",IN,geo
,<p>dfsafsdafsfsfsfsdfsfsd</p>,IN,geo
,2022-03-03 12:19:47.27+00,DT,tim
Sentence: 3,2022-02-28 09:42:42.832+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-03 12:19:47.27+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-07 06:17:54.491+00,,tim
,2022-03-03 12:30:34.523+00,,tim
,2022-03-04 10:20:20.566+00,,tim
,2022-03-03 12:36:53.1+00,,tim
,2022-03-21 09:23:28.124+00,,tim
,2022-03-23 09:50:18.508+00,,tim
,2022-03-03 12:21:25.114+00,,tim
,2020-08-29 16:55:51.96+05:30,,tim
,2022-03-02 07:28:26.228+00,,tim
,2022-02-28 09:42:42.832+00,,tim
,2022-03-03 12:19:47.27+00,,tim
